Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13,1285.000000,1291.449951,1263.000000,1276.199951,1253.892944,43597
2019-06-14,1265.050049,1315.000000,1265.050049,1300.500000,1277.768433,44887
2019-06-17,1293.400024,1352.949951,1261.000000,1273.500000,1251.240356,53334
2019-06-18,1267.000000,1324.000000,1260.300049,1308.050049,1285.186523,57605
2019-06-19,1310.000000,1339.000000,1240.099976,1257.699951,1235.716309,48219
2019-06-20,1257.699951,1278.699951,1225.000000,1264.050049,1241.955566,67626
2019-06-21,1265.949951,1278.699951,1242.800049,1250.949951,1229.084351,55071
2019-06-24,1254.150024,1271.949951,1246.000000,1256.449951,1234.488281,62529
2019-06-25,1252.400024,1267.050049,1245.000000,1250.800049,1228.937012,53647
2019-06-26,1250.150024,1267.449951,1203.000000,1216.000000,1194.745239,53319
2019-06-27,1208.949951,1229.949951,1200.000000,1209.500000,1188.358887,47998
2019-06-28,1200.050049,1244.000000,1200.000000,1212.099976,1190.913574,49536
2019-07-01,1212.000000,1236.199951,1201.300049,1219.750000,1198.429932,47950
2019-07-02,1205.099976,1227.400024,1190.000000,1196.300049,1175.389648,47850
2019-07-03,1201.800049,1224.000000,1188.050049,1208.300049,1187.180054,51603
2019-07-04,1204.300049,1217.900024,1200.300049,1210.050049,1188.899414,50881
2019-07-05,1207.050049,1214.949951,1195.500000,1201.550049,1180.547974,41159
2019-07-08,1202.099976,1202.099976,1150.000000,1156.500000,1136.285278,47002
2019-07-09,1156.500000,1179.599976,1146.000000,1167.550049,1147.142334,42242
2019-07-10,1166.199951,1179.099976,1151.000000,1158.250000,1138.004883,47821
2019-07-11,1161.050049,1179.250000,1141.150024,1154.449951,1134.271118,52001
2019-07-12,1154.949951,1164.900024,1126.550049,1139.449951,1119.533203,44330
2019-07-15,1139.000000,1150.500000,1100.000000,1123.099976,1103.468994,45910
2019-07-16,1114.750000,1148.000000,1083.050049,1103.750000,1084.457397,76728
2019-07-17,1112.000000,1127.949951,1097.099976,1112.699951,1093.250977,45659
2019-07-18,1113.000000,1125.000000,1100.449951,1118.800049,1099.244263,43977
2019-07-19,1120.750000,1133.000000,1083.000000,1107.300049,1087.945313,49247
2019-07-22,1110.050049,1117.550049,1075.099976,1088.150024,1069.130005,42844
2019-07-23,1081.000000,1175.000000,1081.000000,1143.650024,1123.659912,63745
2019-07-24,1157.000000,1158.550049,1082.000000,1087.199951,1068.196533,43660
2019-07-25,1085.550049,1112.000000,1061.150024,1101.150024,1081.902710,41089
2019-07-26,1090.000000,1110.000000,1085.000000,1099.199951,1079.986816,42513
2019-07-29,1102.949951,1104.900024,1055.000000,1073.849976,1055.079956,44665
2019-07-30,1068.800049,1089.699951,1051.050049,1063.750000,1045.156616,42212
2019-07-31,1062.949951,1094.800049,1040.000000,1082.949951,1064.020874,44769
2019-08-01,1081.099976,1122.400024,1077.949951,1090.150024,1071.095215,46796
2019-08-02,1089.949951,1090.000000,1050.000000,1061.199951,1042.651001,42813
2019-08-05,1054.000000,1058.000000,1004.500000,1032.449951,1014.403564,64430
2019-08-06,1029.349976,1095.000000,1024.349976,1071.250000,1052.525391,78484
2019-08-07,1062.949951,1062.949951,1017.000000,1031.550049,1013.519348,48921
2019-08-08,1039.750000,1065.000000,1012.150024,1025.800049,1007.869873,54865
2019-08-09,1034.000000,1045.900024,1016.099976,1025.699951,1007.771545,43632
2019-08-13,1030.000000,1035.000000,1005.799988,1017.349976,999.567566,43233
2019-08-14,1034.500000,1044.000000,1000.000000,1012.349976,994.654968,41681
2019-08-16,1004.049988,1055.400024,994.549988,1037.300049,1019.168884,64608
2019-08-19,1020.049988,1079.800049,1001.299988,1018.400024,1000.599182,53369
2019-08-20,1020.000000,1027.949951,1005.000000,1009.799988,992.149536,42248
2019-08-21,1009.799988,1017.950012,990.049988,1003.000000,985.468384,45895
2019-08-22,1008.799988,1015.000000,984.000000,999.349976,981.882141,46953
2019-08-23,999.349976,1028.000000,995.000000,1014.549988,996.816406,44627
2019-08-26,1020.000000,1050.000000,1015.000000,1027.750000,1009.785828,70979
2019-08-27,1013.000000,1073.949951,1013.000000,1055.800049,1037.345459,79400
2019-08-28,1054.900024,1072.500000,1035.000000,1053.000000,1038.035522,53430
2019-08-29,1060.300049,1075.000000,1035.150024,1066.849976,1051.688721,66233
2019-08-30,1070.849976,1086.949951,1051.050049,1067.550049,1052.378906,67343
2019-09-03,1060.250000,1089.650024,1055.000000,1072.050049,1056.814941,55558
2019-09-04,1064.500000,1120.000000,1045.849976,1089.300049,1073.819702,71229
2019-09-05,1102.000000,1158.050049,1094.800049,1124.849976,1108.864502,62066
2019-09-06,1138.000000,1198.699951,1111.500000,1175.000000,1158.301636,93336
2019-09-09,1175.050049,1195.000000,1152.000000,1168.500000,1151.894165,52177
2019-09-11,1144.050049,1194.699951,1144.050049,1167.550049,1150.957764,56407
2019-09-12,1167.550049,1189.000000,1150.000000,1158.250000,1141.789917,45707
2019-09-13,1165.699951,1188.000000,1147.300049,1180.699951,1163.920654,49332
2019-09-16,1180.750000,1189.150024,1160.000000,1166.099976,1149.528320,44283
2019-09-17,1165.750000,1178.699951,1137.750000,1160.550049,1144.057251,44962
2019-09-18,1154.900024,1188.900024,1154.900024,1177.800049,1161.062012,53646
2019-09-19,1170.050049,1184.000000,1155.000000,1177.099976,1160.371826,45091
2019-09-20,1177.000000,1288.699951,1161.099976,1247.050049,1229.328003,75223
2019-09-23,1261.000000,1285.000000,1226.000000,1274.050049,1255.944214,52633
2019-09-24,1265.150024,1297.900024,1250.000000,1260.199951,1242.290894,47586
2019-09-25,1268.000000,1279.000000,1226.300049,1269.000000,1250.965942,53649
2019-09-26,1260.000000,1285.000000,1236.000000,1250.550049,1232.778198,55325
2019-09-27,1254.000000,1255.000000,1206.150024,1229.300049,1211.830200,47307
2019-09-30,1240.000000,1249.900024,1190.099976,1203.199951,1186.101074,45818
2019-10-01,1217.000000,1226.349976,1186.000000,1197.449951,1180.432739,41104
2019-10-03,1190.000000,1232.349976,1170.300049,1191.000000,1174.074463,52582
2019-10-04,1194.699951,1205.000000,1170.000000,1180.400024,1163.625122,44865
2019-10-07,1187.599976,1187.599976,1137.099976,1162.300049,1145.782349,43460
2019-10-09,1154.500000,1183.300049,1133.000000,1169.300049,1152.682861,46388
2019-10-10,1169.900024,1175.000000,1149.550049,1165.900024,1149.331177,44747
2019-10-11,1152.150024,1179.500000,1150.000000,1169.449951,1152.830566,43136
2019-10-14,1156.050049,1178.849976,1154.000000,1164.949951,1148.394531,45796
2019-10-15,1174.000000,1184.000000,1136.550049,1148.449951,1132.129028,42890
2019-10-16,1155.000000,1155.000000,1133.599976,1142.300049,1126.066528,47409
